Title/Subtitle,Checkouts - Local Patrons,Checkouts - Visiting Patrons
Benjamin Bear in bright ideas! : a Toon book,27,0
Benjamin Franklin,0,0
Benjamin Franklin,2,0
"Benjamin Franklin--printer, inventor, statesman : a first biography",0,0
Bennett Book Club Abby takes a stand,0,0
"Bennett Book Club: Alvin Ho : allergic to girls, school, and other scary things",20,1
Bennett Cerf's book of riddles,13,0
Benny and Babe,2,0
Benny and Penny in the big no-no!,20,0
Benny uncovers a mystery,1,0
Ben's dream : story and pictures,0,0
Ben's trumpet,0,0
The Berenstain Bear Scouts and the evil eye,8,0
The Berenstain bear scouts and the humongous pumpkin,10,0
The Berenstain Bear Scouts and the search for Naughty Ned,44,1
The Berenstain Bear Scouts save that backscratcher,6,0
The Berenstain Bear Scouts scream their heads off,4,0
The Berenstain Bears and the Bad Dream,33,1
The Berenstain bears and the big road race,34,1
The Berenstain Bears and the bully,58,1
The Berenstain bears and the double dare,24,0
The Berenstain Bears and the galloping ghost,13,0
The Berenstain bears and the ghost of the forest,37,0
The Berenstain Bears and the Green-eyed Monster,46,0
The Berenstain bears and the in-crowd,75,1
The Berenstain bears and the messy room,23,1
The Berenstain Bears and the missing dinosaur bone,4,0
The Berenstain bears and the missing honey,42,0
The Berenstain Bears and the slumber party,18,1
The Berenstain Bears and the trouble with chores,20,0
The Berenstain bears and the trouble with friends,2,0
The Berenstain bears and the week at grandma's,7,0
The Berenstain bears and too much junk food,32,1
The Berenstain bears and too much pressure,43,0
The Berenstain bears and too much tv,77,0
"The Berenstain Bears big bear, small bear",18,0
The Berenstain Bears count their blessings,35,1
The Berenstain bears draw-it : drawing lessons from Stan and Jan,5,0
The Berenstain Bears get involved,56,0
The Berenstain bears get stage fright,31,1
The Berenstain Bears go back to school,11,1
The Berenstain Bears go to school,105,2
The Berenstain bears go to the doctor,27,0
The Berenstain Bears grow-it : Mother Nature has such a green thumb,21,1
The Berenstain Bears lend a helping hand,35,0
"The Berenstain Bears' mad, mad, mad toy craze",25,1
The Berenstain Bears' Moving Day,52,1
The Berenstain Bears' new neighbors,45,0
The Berenstain Bears trick or treat,11,0
The Berenstain bears' trouble with money,27,0
The Berenstain Bears' trouble with pets,25,0
The Berenstain bears visit the dentist,66,3
The Berenstain kids : I [love] colors,31,4
Berenstains' B book,5,0
Berlioz the bear,0,0
Berlitz Jr. Spanish.,3,0
Bernie Magruder & the bats in the belfry,0,0
Bertie was a watchdog,2,0
Bessie Coleman,1,0
The best bad luck I ever had,3,0
The best beekeeper of Lalibela : a tale from Africa,4,0
"The best book of fossils, rocks, and minerals",9,0
The best book of mummies,3,0
The best book of snakes,21,0
Best brother ever!,2,0
The best camouflaged animals,41,0
The best club,8,0
Best day of the week,1,0
The best detective,2,0
The best Eid ever,2,1
Best ever paper airplanes,32,0
"Best foot forward : exploring feet, flippers, and claws",10,0
Best friends,0,0
Best friends,0,0
Best friends,53,4
Best friends and drama queens,27,0
Best friends for Frances,1,0
Best friends in Fairyland,33,0
The best of Rube Goldberg,1,0
The best of times : math strategies that multiply,4,0
The best pet yet,3,0
Best season ever,20,0
The best thing about valentines,9,0
The best vacation ever,7,0
The best way to play,0,0
The best winds,1,0
Best wishes,0,0
Besties. Find their groove,10,0
Besties work it out,28,1
Betcha!,2,0
Betsy Ross and the silver thimble,1,0
Betsy Ross : designer of our flag,1,0
Betsy who cried wolf,5,1
Better chess,17,0
Better Nate than ever,5,0
Betty before X,0,0
Betty Bunny didn't do it,30,0
Betty Bunny loves chocolate cake,144,1
Betty Bunny wants a goal,31,1
Betty Bunny wants everything,39,0
Between us and Abuela : a family story from the border,9,1
Beverly Billingsly borrows a book,34,1
Beverly Billingsly takes a bow,9,0
Beware of the storybook wolves,5,0
Beware the bohrok,8,0
Beware the power of the dark side!,12,1
Beyond the bright sea,2,0
Beyond the Deepwoods,1,0
Beyond the grave,52,1
Beyond the great mountains : a visual poem about China,0,0
Beyond the kingdoms,25,0
Beyond the ridge,0,0
Beyond the Valley of Thorns,4,1
Beyond the western sea,2,0
The BFG,18,0
[Bi cui si yu yan] = The Beatryce prophecy,0,0
Una biblioteca para Juana : el mundo de Sor Juana Inés,0,0
Bicycle mystery,0,0
Big Al,3,0
"Big, bad, and a little bit scary : poems that bite back!",4,0
Big bad bubble,12,1
A big ball of string,16,2
The big Bazoohley,1,0
The big beach cleanup,4,1
Big bear hug,10,0
A big bed for Little Snow,10,2
The big blue thing on the hill,5,0
The Big book for peace,0,0
The big book of birds,4,0
Big book of the Berenstain Bears,65,1
The big book of World War II,3,0
Big brown bear : El gran oso pardo,19,0
The big buck adventure,8,1
The big bug search,6,0
Big bug surprise,11,1
Big bugs,6,0
Big bugs,31,0
Big Bunny,1,0
"Big cat, little cat",3,0
Big cats,3,0
Big cats,27,0
The big cheese,2,0
Big chickens,14,1
Big chickens fly the coop,11,0
Big chickens go to town,17,0
Big dinosaurs,100,1
Big Dog and Little Dog,9,0
Big Dog and Little Dog getting in trouble,4,0
Big Dog and Little Dog going for a walk,5,0
Big Dog and Little Dog making a mistake,3,0
Big Dog and Little Dog = Perrazo y Perrito,5,0
Big Dog and Little Dog wearing sweaters,1,1
"Big dreams, small fish",3,0
The big egg hunt,67,2
Big fat hen,0,0
The big freeze,4,0
Big Frog can't fit in : a pop-out book,0,0
Big game,4,0
A big guy took my ball!,172,9
The big honey hunt,4,0
The big leaf pile,52,3
The big lie,7,0
Big Max,1,0
Big Mean Mike,7,0
A big mooncake for Little Star,10,2
Big Nate and friends,79,0
Big Nate blasts off,64,1
Big Nate flips out,54,0
Big Nate : from the top,88,0
Big Nate. Game on!,30,0
Big Nate : genius mode,27,0
Big Nate goes for broke,116,0
Big Nate : great minds think alike,79,3
Big Nate : here goes nothing,117,4
Big Nate : I can't take it,74,1
Big Nate : in a class by himself,154,3
Big Nate in the zone,22,0
Big Nate lives it up,52,0
Big Nate makes the grade,94,1
Big Nate : Mr. Popularity,57,1
Big Nate on a roll,73,0
Big Nate out loud,59,0
Big Nate : say good-bye to Dork City,30,0
Big Nate strikes again,76,0
Big Nate : the crowd goes wild!,63,1
"Big Nate. Thunka, thunka, thunka",30,1
Big Nate. Welcome to my world,54,0
Big Nate : what could possibly go wrong?,68,2
Big Nate's greatest hits,47,2
Big numbers : and pictures that show just how big they are!,14,0
Big ocean creatures,0,0
Big old bones : a dinosaur tale,0,0
The big orange splot,0,0
The big pet story,5,0
Big pig,1,0
Big Pig and Little Pig : Cerdo y Cerdito,13,0
Big predators,19,0
Big problemas,0,0
Big rain coming,7,1
Big red lollipop,7,1
Big rigs,20,0
The big rock,5,0
Big talk : poems for four voices,1,0
Big top Scooby-Doo! : movie reader,72,3
The big tree,2,0
Big trouble for tricky rabbit!,3,0
Big tune : rise of the dancehall prince,5,0
The big wet balloon,4,0
Big words for little people,2,0
The big yawn,21,1
The big yellow balloon,6,1
Bigfoot and adaptation,15,0
Bigfoot Cinderrrrrella,5,2
Bigfoot doesn't square dance,9,0
Bigfoot is missing!,3,0
Bigfoot wants a little brother,4,0
The biggest bear,3,0
"The biggest, best snowman",28,0
The biggest frog in Australia,8,0
The biggest house in the world,1,0
The biggest pumpkin ever,10,0
Biggest riddle book in the world,19,0
The biggest roller coaster,1,0
Bigmama's,1,0
The bike lesson.,24,3
A bike like Sergio's,4,0
Bikes on the move,1,0
Bilal cooks daal,8,0
Bill and Melinda Gates,0,0
Bill and Pete to the rescue,1,0
Bill Clinton,4,0
Bill Gates,0,0
Bill Gates,1,0
Bill Gates : billionaire computer genius,2,0
Bill Gates : computer king,3,0
Bill Nye the science guy Bones and muscles,0,0
Bill Nye the science guy Rivers & streams,0,1
Bill Nye the science guy Water cycle,0,1
"Bill Nye the Science Guy's consider the following : a way cool set of science questions, answers, and ideas to ponder",2,0
Bill Nye the science guy's great big book of tiny germs,7,0
The Bill of Rights,0,0
The Bill of Rights,0,0
The Bill of Rights,0,0
The Bill of Rights,0,0
Bill Peet : an autobiography.,1,0
Billie B. es una campeona,17,0
Billie the unicorn,6,0
The billionaire's curse,29,0
Bing bang boing : poems and drawings,0,0
Bink & Gollie,12,0
Binky to the rescue,8,0
Bips and roses,2,0
The birchbark house,0,0
The birchbark house,0,0
Bird,0,0
Bird,23,5
Bird house,6,0
Bird & Squirrel. All tangled up,8,0
Bird & Squirrel on ice,51,1
Bird & Squirrel on the edge!,56,3
Bird & Squirrel on the run!,18,1
A bird will soar,0,0
"Birdbrain Amos, Mr. Fun",1,0
Birds,2,0
Birds,4,1
Birds,6,0
Birds,7,3
Birds,37,4
Birds and how they live,6,3
"Birds, beasts, and fishes : a selection of animal poems",0,0
Birds in your backyard,4,1
Birds of North America,4,2
Birds of prey,8,0
Birds of prey,16,0
Birds of prey : terrifying talons,1,0
Birds we know,1,0
The birdy snatchers,26,1
The birthday ball,5,0
A birthday for Bear,8,1
A birthday for Frances,4,0
Birthday in the barrio = Cumpleaños en el barrio,2,0
Birthday magic,4,0
The birthday swap,0,0
Birthday traditions around the world,5,0
Birthday zoo,5,0
Birthdays,10,0
Birthdays in many cultures,14,1
Birthstones,8,0
Biscuit,17,1
Biscuit wins a prize,17,1
Bitter bananas,0,0
Bizard the Bear Wizard,2,0
Bizarre insects,6,0
Bizcocho,59,1
Bizcocho encuentra un amigo,40,3
Black and white,3,0
Black bears,1,0
Black Beauty,0,0
Black Beauty : the autobiography of a horse,2,0
The black book of colors,8,0
The black cauldron,0,0
The black circle,64,0
Black diamond : the story of the Negro baseball leagues,0,0
A black hole is not a hole,9,0
The black island,23,0
The black rabbit,25,2
The black stallion and Flame,0,0
The black stallion revolts,0,0
The black stallion's ghost,1,0
"Black Star, Bright Dawn",0,0
Black water,10,0
Black whiteness : Admiral Byrd alone in the Antarctic,0,0
Black widow spider,22,0
"Blackbeard, the pirate king : several yarns detailing the legends, myths, and real-life adventures of history's most notorious seaman, told in verse",1,0
The blacker the berry : poems,1,0
The Blackfeet,0,0
Blackout,9,0
The blacksmith,0,0
The Blackthorn key,11,0
Blast off!,12,0
Blazing bladers : the wild and exciting world of in-line skating,1,0
Bless this mouse,1,0
Blimps,9,0
Blips on a screen : how Ralph Baer invented TV video gaming and launched a worldwide obsession,0,0
Blizzard,7,0
Blizzard,7,0
Blizzard of the blue moon,64,0
The blizzard on Blue Mountain,3,0
Block party surprise,0,0
The blood of Olympus,36,0
Blood of the witch,21,0
Blood Tide : a Never Land book,1,0
Blood ties,2,0
Bloodhounds,5,0
Bloodsuckers,0,0
Bloodthirsty mosquitoes,8,0
Bloom,7,0
Bloom of the flower dragon,1,0
Bloomability,3,0
The blossom on the bough : a book of trees,1,0
Blue Bay mystery,9,0
Blue Jay in the desert,0,0
The blue lotus,18,1
"Blue potatoes, orange tomatoes : how to grow a rainbow garden",2,0
Blue sky white stars,6,0
Blueberries for Sal.,8,0
Blueberries for the Queen,6,0
The blues of Flats Brown,3,0
Bluestar's prophecy,17,1
Bluffton : my summers with Buster,6,0
Blumpoe the Grumpoe meets Arnold the Cat,5,0
The blur,3,1
BMX bikes,0,0
BMX blitz,60,0
Bo and the dragon-pup,3,0
Boa constrictors,4,0
Boa constrictors up close,7,0
"Boas, pythons, and anacondas",16,1
Boat,3,0
Boat ride with Lillian Two Blossom,6,0
Boats on the move,5,1
Bob,6,0
Bobby Fischer teaches chess,8,0
Bobcats,39,0
"Bobo and Pup-Pup. 1, We love bubbles!",6,0
"Bobo and Pup-Pup. 2, Let's make cake!",3,1
Bobo and Pup-Pup. 4. Hatch an egg,6,0
La boda de la ratoncita : una leyenda maya,13,0
Una boda en el bosque,46,7
Bodies from the ash,5,1
Body actions,8,0
Body baddies.,2,0
Body cycles,0,0
"Body parts : double-jointedness, hitchhiker's thumb, and more",4,0
Body science,2,0
Bogbrush the barbarian,0,0
Bok! bok! boom!,36,2
Bok's giant leap : one moon rock's journey through time and space,3,0
A bold carnivore : an alphabet of predators,1,0
Boleto para el ‚exito infantil : t‚ecnicas para guiar a lost ni‰nos a la toma responsable de decisiones,2,0
Una bolsa de plástico : Isatou Ceesay y las mujeres recicladoras de Gambia,0,0
[Bol'shie i malen'kie zhivotnye],7,0
Un bolsillo lleno de besos,4,2
Un bolsillo para Corduroy,20,0
Bomb-sniffing dogs,8,0
"El bombardeo de Pearl Harbor, 1941",3,2
"Bone [3], Eyes of the storm",95,1
Bone Breath and the vandals,0,0
Bone collection. Skulls,6,0
Bone handbook,85,1
Bone: Out from Boneville,103,1
Bone : Rose,20,0
Bone soup,52,0
Bone : tall tales,125,2
Bones and joints,2,0
Bones and muscles,13,0
Bones : our skeletal system,3,0
Bones : skeletons and how they work,16,1
The bones you own : a book about the human body,2,0
"Bonz, inside-out! : a rhythm, rhyme & reason bone-anza!",0,0
The boo-boos that changed the world : a true story about an accidental invention (really!),1,0
Boo-hoo moo,0,0
"Boo, Katie Woo!",13,0
A book,7,0
A book about planets and stars,17,0
Book! book! book!,6,0
The book hog,3,0
"The book itch : freedom, truth, & Harlem's greatest bookstore",4,0
Book-o-beards,23,0
Book-o-masks,16,0
Book-o-teeth,27,2
The book of Boy,1,0
The book of boys (for girls) & the book of girls (for boys),16,0
Book of dinosaurs : 10 record-breaking prehistoric animals,3,0
The book of dragons,13,0
The book of eagles,0,2
The book of fantastic planes,2,0
Book of magic tricks,32,0
The book of mistakes,6,0
Book of the dead,7,0
The book of the lion,1,0
The book of three,0,0
The book of-- why?,2,0
"The book of wizard craft : in which the apprentice finds spells, potions, fantastic tales, and 50 enchanting things to make",2,0
Book Scavenger,1,0
Book Scavenger,5,0
The book that eats people,15,0
The book that Jack wrote,0,0
The book with no pictures,18,0
The book without words : a fable of medieval magic,3,0
Booked,4,2
Booked,8,2
Bookstore cat,11,0
The bookstore mouse,1,0
Boomer,12,0
Border collies,8,1
The bored book,0,0
Born on the Water,5,0
Born to be giants : how baby dinosaurs grew to rule the world,21,1
"Borreguita and the coyote : a tale from Ayutla, Mexico",16,0
Borreguita ye el coyote,5,1
The borrowed Hanukkah latkes,0,0
Borrowing bunnies : a surprising true tale of fostering rabbits,1,0
El bosque tropical,6,3
The boss baby,28,0
Boss of the world,6,0
Boston Jane : an adventure,10,0
Boston Jane : the claim,7,0
Boston Jane : wilderness days,5,6
The Boston Tea Party,2,0
The Boston Tea Party,2,0
The Boston Tea Party,3,0
The Boston Tea Party : angry colonists dump British tea,1,0
Bounce,1,0
Bounce back,2,0
Bouncing and bending light,2,0
The Boundless,4,0
Boundless Grace,0,0
Bowwow powwow = Bagosenjige-niimi'idim,4,0
Box : Henry Brown mails himself to freedom,0,0
Box Turtle at Silver Pond Lane,5,0
Box turtles,2,0
The Boxcar children,12,0
Boxcar Children: The castle mystery,1,0
Boxcar Children: The mystery at Snowflake Inn,10,1
Boxcar Children: The mystery on the ice,9,1
Boxers,4,0
Boxes for Katje,9,0
Boxitects,0,0
A boy and a jaguar,3,2
The boy and the ghost,0,0
The boy at the end of the world,30,1
A boy called Dickens,11,0
Boy dumplings : a tasty Chinese tale = [Nan hai xian jiao zi : zhongguo mei shi gu shi],5,0
The boy from the dragon palace : a folktale from Japan,5,0
A Boy Named Isamu : A Story of Isamu Noguchi,0,2
"Boy, oh boy",0,0
The boy on Fairfield Street : how Ted Geisel grew up to become Dr. Seuss,2,0
Boy Scouts of America,2,0
Boy : tales of childhood,3,0
A boy wants a dinosaur,4,1
"Boy, were we wrong about dinosaurs!",20,0
The boy who ate dog biscuits,8,1
The boy who became a dragon : a Bruce Lee story,8,0
"The boy who cried ""Wolf!""",4,0
The boy who drew birds : a story of John James Audubon,2,0
The boy who harnessed the wind,3,0
The boy who harnessed the wind,14,1
The boy who invented the popsicle : the cool science behind Frank Epperson's famous frozen treat,12,0
The boy who invented TV : the story of Philo Farnsworth,0,0
The boy who lived with the seals,0,0
The boy who looked like Lincoln,5,0
The boy who lost his face,9,0
The boy who loved maps,0,0
The boy who saved baseball,1,0
The boys in the back row,3,0
The boys start the war,2,0
Boys without names,26,1
The bracelet,2,0
Brady,0,0
Brain,0,0
Brain,3,0
Brain surgery for beginners and other major operations for minors,0,0
The brain : the ultimate thinking machine,0,0
Brain trouble,0,0
"The brain--what it is, what it does",2,0
Brainboy and the Deathmaster,0,0
Brains! Not just a zombie snack,0,0
Brave,56,3
Brave Charlotte,13,0
The brave friend leads the way!,0,0
Brave Irene,6,0
The brave little parrot,0,0
Brave Norman : a true story,3,0
The bravest dog ever : the true story of Balto,5,0
Bravo!,0,0
Bravo!,15,1
Bravo! : poemas sobre hispanos extraordinarios,1,0
"Bravo, Zan Angelo : a commedia dell'arte tale with story & pictures",3,0
Brazil,1,0
Brazil,2,0
Brazil,2,0
Bread,3,0
Bread and honey.,1,0
Bread lab!,2,0
Break it down : the digestive system,0,0
Breaking waves : Winslow Homer paints the sea,1,0
The Bremen-town musicians,1,0
Brendan and Belinda and the slam dunk,2,0
Brendan Buckley's universe and everything in it,1,2
"Brian Boru, emperor of the Irish",0,0
Brian Wildsmith's Mother Goose : a collection of nursery rhymes.,0,0
Brian's return,0,0
Brian's winter,1,0
Briar's book,4,0
The bride of Frankenstein doesn't bake cookies,4,0
The bridesmaid ballet,13,0
Bridge to Terabithia,7,0
Bridges,0,0
Bridges,2,0
"Bridges! : amazing structures to design, build & test",2,0
Bridges : engineering masterpieces,1,0
Bridget's beret,42,1
A brief illustrated history of life on Earth,1,0
Bright ideas,0,0
The Brightest Night,5,0
Brillantes nuevos amigos,28,4
Brilliant bees,0,0
The brilliant fall of Gianna Z,2,0
Bringing back the animals,5,0
Bringing in the New Year,16,0
Bringing the rain to Kapiti Plain : a Nandi tale,7,1
Brisingr,9,0
The British Redcoat of the Napoleonic wars,6,0
The broken ear,14,0
Broken sky. #4,0,0
Broken sky. #5,0,0
Broken sky. #6,0,0
Broken sky. #7,2,0
Bromas pesadas S.A.,12,1
Bromas pesadas S.A. aún peor,3,0
"Brooke, el hada fotógrafa",0,0
"Brother eagle, sister sky : a message from Chief Seattle",1,0
The Brotherhood of the Traveling Underpants,5,0
Brown bear,8,0
"Brown bear, brown bear, what do you see?",10,1
The brown bear : giant of the mountains,6,0
Brown girl dreaming,4,0
Brrr!,2,1
Bruce Coville's book of magic : tales to cast a spell on you,1,0
Bruce Lee,5,0
Bruce's big move,2,0
Bruh Rabbit and the tar baby girl,0,0
Bruises,0,0
La bruja y el maestro,4,1
Bryce Canyon National Park,1,0
Bubba and Beau best friends,7,2
Bubba and Beau go night-night,0,0
Bubba and Beau meet the relatives,0,0
Bubba the cowboy prince : a fractured Texas tale,15,0
The bubble collector : poems and drawings,14,0
"Bubble gum, bubble gum",0,0
Bubble trouble,11,0
Bubbles and Boo,12,0
Bubbling biology,4,0
Bud and Gabby,11,0
"Bud, not Buddy",3,0
Buddhism in Thailand,2,0
Budgie at Bendick's Point,0,0
Un buen equipo,13,3
Buena noche para fantasmas,2,0
Las buenas acciones de Clifford,27,0
"Buenas noches, construccion, buenas noches, diversion",3,1
"Buenas noches, Pequeña Nutria",15,0
"Buenos días, gorilas",4,0
Búfalos antes del desayuno,4,0
Buffalo Before Breakfast,30,0
Buffalo Bills,8,0
Buffalo gals : women of the old West,0,0
Buffalo song,1,1
Bug dictionary : an A to Z of insects and creepy crawlies,15,0
Bug faces,2,0
"Bug off! : creepy, crawly poems",8,0
Buggin' with Ruud,17,2
Bugs,0,0
Bugs,2,0
Bugs,4,0
Bugs,7,0
Bugs,12,0
Bugs A to Z,10,0
Bugs! Bugs! Bugs!,4,0
Bugs in my hair!,13,0
Búho en casa,5,0
Build a robot!,1,0
Build it! Make it! Dinosaurs,0,0
Building,0,0
Building,10,0
Building a house,0,0
Building an orchestra of hope : how Favio Chávez taught children to make music from trash,0,1
Building big,2,0
Building the Empire State Building : an interactive engineering adventure,12,0
Buildings : how they work,3,0
"Built to last : building America's amazing bridges, dams, tunnels, and skyscrapers",5,0
[Bukashki],1,0
Bukayo Saka : the unofficial story,1,0
Bull trout's gift : a Salish story about the value of reciprocity,2,1
Bulldozer's big day,6,0
Bulldozers = Buldóceres,0,0
The bully,0,0
The Bully Blockers Club,5,1
The bully brothers making the grade,6,0
"Bully for you, Teddy Roosevelt!",1,0
Bullying,3,0
Bullying and me : schoolyard stories,2,0
The Bumble brothers. Crazy for comics!,1,0
Bumblebees,2,0
Bumpa Rumpus and the rainy day,9,0
Bunbun & Bonbon. Fancy friends,0,0
The Bungalow Mystery,4,1
Bunheads,5,0
Bunjitsu Bunny jumps to the moon,8,0
Bunjitsu Bunny vs. Bunjitsu Bunny,7,0
Bunnicula : a rabbit-tale of mystery,5,0
Bunnicula strikes again!,20,1
Bunnicula : the graphic novel,5,0
Bunnies in the bathroom,4,0
Bunny cakes,8,0
Bunny money,5,0
The Bunyans,3,0
Buri and the marrow : an Indian folk tale,0,0
The buried city of Pompeii,3,1
Buried treasure,0,0
The burning,3,0
Burp! : the most interesting book you'll ever read about eating,4,0
"Burps, boogers, and other body functions",18,1
Burt the beetle lives here,0,0
Burying the moon,0,0
The bus ride,7,0
Bus station mystery,0,0
Bus! Stop!,3,1
Busted by breakfast,2,0
Buster,7,0
Busy beavers,5,1
The busy body book : a kid's guide to fitness,0,0
Busy buzzy bee,0,0
A busy creature's day eating,15,0
Busy in the garden,0,0
The butter battle book,7,0
Butterfingers,5,0
Butterflies,2,0
Butterflies,2,1
Butterflies,2,1
Butterflies,4,0
Butterflies,7,0
Butterflies and moths,0,0
Butterflies and moths,6,0
Butterflies are pretty gross!,2,0
Butterflies fly,1,0
Butterflies in my stomach and other school hazards,10,0
Butterflies on Carmen Street,5,0
The butterfly,5,0
The butterfly,6,0
Butterfly battle,7,0
Butterfly for a king : saving Hawai'i's Kamehameha butterflies,1,0
Butterfly for a king : saving Hawaiʿi's Kamehameha butterflies,0,0
A butterfly grows,0,0
The butterfly jar : poems,2,0
Butterfly & moth,0,0
Butterfly & moth,8,1
The button blanket : an activity book ages 5-9,0,0
The button box,0,0
Button soup,0,0
Buzz,0,0
Buzz Boy and Fly Guy,56,0
"""Buzz,"" said the bee",4,0
By balloon to the Sahara,4,0
By my brother's side,8,0
By the shores of Silver Lake,1,0
By the side of the road,5,1
C D B!,5,0
C D C?,2,0
"C is for clown : a circus of ""C"" words",12,0
El caballero del alba,5,0
Caballo purasangre,1,0
Cabbages and kings,3,0
Cabin on Trouble Creek,1,0
Caboose mystery,4,0
Cactus hotel,0,0
The cafeteria lady from the black lagoon,15,0
Cages,1,0
Calculator riddles,4,0
The Calder game,5,0
Caleb & Kate,0,0
Calico cats,24,0
Calico girl,1,0
California,22,0
California,28,0
California gold rush,1,1
California gold rush : search for treasure,0,0
California Indians,1,0
A call for a new alphabet,49,2
Call me Francis Tucket,1,0
Call Me Maria.,2,0
Call me tree = Llámame árbol,3,0
"The call of the wild, and other stories",0,0
Call of the wolves,12,0
Calligraphy,0,0
Calligraphy projects,5,0
Calling all cats,2,1
Calvin and Hobbes,46,1
The Calvin and Hobbes lazy Sunday book : a collection of Sunday Calvin and Hobbes cartoons,41,4
Calvin Coconut : the Zippy fix,3,0
Calvin Coconut : trouble magnet,2,0
Los calzoncillos maléficos,5,0
Cam Jansen and the birthday mystery,1,0
Cam Jansen and the catnapping mystery,5,0
Cam Jansen and the chocolate fudge mystery,2,0
Cam Jansen and the ghostly mystery,8,0
Cam Jansen and the mystery at the haunted house,11,0
Cam Jansen and the mystery at the monkey house,3,0
Cam Jansen and the mystery of the Babe Ruth baseball,5,0
Cam Jansen and the mystery of the carnival prize,2,1
Cam Jansen and the mystery of the circus clown,5,0
Cam Jansen and the mystery of the dinosaur bones,3,0
Cam Jansen and the mystery of the monster movie,12,0
Cam Jansen and the mystery of the stolen corn popper,7,0
Cam Jansen and the mystery of the stolen diamonds,3,0
Cam Jansen and the mystery of the television dog,7,0
Cam Jansen and the mystery of the U.F.O,4,0
Cam Jansen and the scary snake mystery,3,0
Cam Jansen and the Triceratops Pops mystery,1,0
Cam Jansen : the mystery of the gold coins,6,0
El camaleón azul,7,0
Cambios para Josefina : un cuento de invierno,4,0
The camel family,5,0
The camel who took a walk,0,0
Camels,5,0
Cameramen who dared,0,0
Camila the soccer star,0,0
Caminantes curiosos,0,0
El camino de Amelia,0,0
Camiones,1,0
Camiones de bomberos,1,0
Camp,10,1
Camp,13,0
Camp Big Paw,0,0
Camp Panda : helping cubs return to the wild,5,0
El campamento del zorro vengador,10,1
Camping out,64,0
Camping with unicorns : another Phoebe and her unicorn adventure,23,3
Can adults become human,28,0
Can hens give milk?,20,0
Can I be your dog?,9,0
"Can I bring Woolly to the library, Ms. Reeder?",6,0
"Can I have a Stegosaurus, Mom? Can I? Please!?",4,1
Can I play too?,236,19
Can of worms,5,0
Can snakes crawl backward : questions and answers about reptiles,5,0
Can somebody please scratch my back?,3,0
Can you count to a googol?,5,0
Can you crack the code? : a fascinating history of ciphers and cryptography,1,1
"Can you find it, too?",2,0
Can you greet the whole wide world? : 12 common phrases in 12 different languages,13,0
Can you guess my name? : traditional tales around the world,0,0
Can you guess where we're going?,13,2
Can you hear a shout in space : questions and answers about space exploration,4,0
Can you see the red balloon?,8,0
Can you see what I see? Cool collections : picture puzzles to search and solve,11,0
Canada,3,1
Canada,5,1
Canada : star of the north,1,0
Canada's Maple Leaf : the story of our flag,0,0
The canary caper,30,0
Una canasta de cumpleaños para Tía,5,1
The Candlewick book of fairy tales,12,1
The candy caper,31,1
The candy corn contest,1,0
Candy is dandy,2,0
The Candy Shop War,12,0
The candymakers,15,0
Canine companions,2,0
Canines,1,0
Canyonlands National Park,1,0
Canyons,12,0
Caperucita Roja,18,0
"Caperucita Roja, Verde, Amarilla, Azul y Blanca",4,1
"Capital! Washington, D.C. from a to z.",0,0
El Capitan Calzoncillos y el ataque de los inodoros parlantes,3,0
El Capitan Calzoncillos y el diabolico desquite del Inodoro Turbotron 2000 : la decimoprimera novela epica,15,0
El Capitán Calzoncillos y el perverso plan del Profesor Pipicaca : la cuarta novela épica,5,0
El Capitán Calzoncillos y el terrorífico retorno de Cacapipí : la novena novela épica,19,0
El Capitán Calzoncillos y la asque rosa venganza de los robocalzones radioactivos : la décima novela épica,29,0
El Capitán Calzoncillos y la feroz batalla contra el Niño Mocobiónico 1a parte : la noche de los mocos vivientes : la sexta novela épica,33,0
"El Capitán Calzoncillos y la feroz batalla contra el niño mocobiónico, 2a parte : la venganza de los ridículos mocorobots : la séptima novela épica",27,0
El Capitán Calzoncillos y la furia de la supermujer macroelástica : la quinta novela épica,33,1
El Capitán Calzoncillos y la invasión de las horribles señoras del espacio sideral (y el subsiguiente asalto de los igual de horribles zombis malvados,4,0
El Capitan Calzoncillos y la sensacional saga del Senor Sohediondo : la decimosegunda novela epica,22,1
"Caps for sale : a tale of a peddler, some monkeys, and their monkey business",11,0
Capt. Hook : the adventures of a notorious youth,2,0
Captain America : the Winter Soldier : the secret files,9,0
Captain Barnacle's aquarium,17,1
Captain Bun & Super Bonbon,21,1
Captain Kidd's crew experiments with sinking and floating,1,0
Captain Underpants and the attack of the talking toilets : another epic novel,162,2
"Captain Underpants and the big, bad battle of the Bionic Booger Boy, part 1 : the night of the nasty nostril nuggets : the sixth epic novel",80,0
"Captain Underpants and the big, bad battle of the Bionic Booger Boy, part 2 : the revenge of the ridiculous Robo-Boogers : the seventh epic novel",160,1
Captain Underpants and the invasion of the incredibly naughty cafeteria ladies from outer space- : the third epic novel,100,1
Captain Underpants and the perilous plot of Professor Poopypants : the fourth epic novel,132,0
Captain Underpants and the preposterous plight of the purple potty people : the eighth epic novel,186,1
Captain Underpants and the revolting revenge of the Radioactive Robo-Boxers : the tenth epic novel,82,3
Captain Underpants and the sensational saga of Sir Stinks-A-Lot,74,2
Captain Underpants and the terrifying return of Tippy Tinkletrousers : the ninth epic novel,183,3
